PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
TRATAMENTO CIRÚRGICO DA LIPOMATOSE CERVICAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PESCOÇO,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
TRATAMENTO CIRÚRGICO DE FÍSTULA COM RETALHO CUTÂNEO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PESCOÇO,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
BIÓPSIA DE TIREÓIDE,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TIREÓIDE,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
BÓCIO MERGULHANTE: EXTIRPAÇÃO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TIREÓIDE,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
ISTMECTOMIA OU NODULECTOMIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TIREÓIDE,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
TIREOIDECTOMIA PARCIAL OU TOTAL COM OU SEM ESVAZIAMENTO GANGLIONAR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TIREÓIDE,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
BIÓPSIA DE PARATIREÓIDE,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PARATIREÓIDE,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
PARATIREOIDECTOMIA COM ESVAZIAMENTO CERVICAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PARATIREÓIDE,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
PARATIREOIDECTOMIA COM TORACOTOMIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PARATIREÓIDE,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
PARATIREOIDECTOMIA SUBTOTAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PARATIREÓIDE,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
PARATIREOIDECTOMIA TOTAL COM IMPLANTE DE PARATIREÓIDES,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PARATIREÓIDE,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
REIMPLANTE DE PARATIREÓIDE PREVIAMENTE PRESERVADA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PARATIREÓIDE,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
TRATAMENTO CIRÚRGICO DO HIPERPARATIREOIDISMO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PARATIREÓIDE,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
CRANIOPLASTIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,CRÂNIO,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
CRANIOTOMIA OU CRANIECTOMIA DESCOMPRESSIVA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,CRÂNIO,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
CRANIOTOMIA PARA TUMORES ÓSSEOS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,CRÂNIO,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
RECONSTRUÇÃO CRANIANA OU CRANIOFACIAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,CRÂNIO,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
RETIRADA DE CRANIOPLASTIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,CRÂNIO,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
TRATAMENTO CIRÚRGICO DA CRANIOSSINOSTOSE,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,CRÂNIO,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
TRATAMENTO CIRÚRGICO DA FRATURA DO CRÂNIO - AFUNDAMENTO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,CRÂNIO,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
TRATAMENTO CIRÚRGICO DA OSTEOMIELITE DE CRÂNIO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,CRÂNIO,CABEÇA E PESCOÇO,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
ABSCESSO DE PÁLPEBRA - DRENAGEM,,,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
BIÓPSIA DE PÁLPEBRA,,,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
BLEFARORRAFIA,,,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
CALÁZIO - TRATAMENTO CIRÚRGICO,,,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
CANTOPLASTIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
COLOBOMA - CORREÇÃO CIRÚRGICA (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,15,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
CORREÇÃO CIRÚRGICA DE ECTRÓPIO OU ENTRÓPIO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
EPICANTO - CORREÇÃO CIRÚRGICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
EPILAÇÃO DE CÍLIOS POR ELETRÓLISE,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
FISSURA PALPEBRAL - CORREÇÃO CIRÚRGICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
LAGOFTALMO - CORREÇÃO CIRÚRGICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
PÁLPEBRA - RECONSTRUÇÃO PARCIAL COM OU SEM RESSECÇÃO DE TUMOR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
PÁLPEBRA - RECONSTRUÇÃO TOTAL COM OU SEM RESSECÇÃO DE TUMOR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
PTOSE PALPEBRAL - CORREÇÃO CIRÚRGICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
RESSECÇÃO DE TUMORES PALPEBRAIS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
RETRAÇÃO PALPEBRAL - CORREÇÃO CIRÚRGICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
SIMBLÉFARO COM OU SEM ENXERTO - CORREÇÃO CIRÚRGICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PÁLPEBRA,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
,RN,,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
PROCEDIMENTO,,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
,(alteração),,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
SUPERCÍLIO - RECONSTRUÇÃO,,HCO,Seg. Odontológica,Seg. Ambulatorial,PÁLPEBRA,OLHOS,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,INVASIVOS,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
SUTURA DE PÁLPEBRA,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,PÁLPEBRA,OLHOS,,,,,,
TARSORRAFIA,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,PÁLPEBRA,OLHOS,,,,,,
TELECANTO - CORREÇÃO CIRÚRGICA,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,PÁLPEBRA,OLHOS,,,,,,
TRIQUÍASE COM OU SEM ENXERTO,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,PÁLPEBRA,OLHOS,,,,,,
CORREÇÃO DA ENOFTALMIA,,HCO,Seg. Odontológica,Seg. Ambulatorial,CAVIDADE ORBITÁRIA,OLHOS,,,,,,
DESCOMPRESSÃO DE ÓRBITA OU NERVO ÓTICO,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
EXENTERAÇÃO DE ÓRBITA COM OU SEM OSTEOTOMIA,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
CAVIDADE ORBITÁRIA E OLHOS,,,Seg. Odontológica,Seg. Ambulatorial,,INVASIVOS,,,,,,
EXÉRESE OU RESSECÇÃO DE TUMOR DE ÓRBITA,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
FRATURA DE ÓRBITA - REDUÇÃO CIRÚRGICA COM OU SEM ENXERTO ÓSSEO,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
IMPLANTE SECUNDÁRIO DE ÓRBITA,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
MICROCIRURGIA PARA TUMORES ORBITÁRIOS,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
RECONSTITUIÇÃO DE PAREDES ORBITÁRIAS,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
RECONSTRUÇÃO DA CAVIDADE ORBITAL,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
RESSECÇÃO DE TUMORES DA CAVIDADE ORBITÁRIA,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
AUTOTRANSPLANTE CONJUNTIVAL,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
,RN,,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
PROCEDIMENTO,,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
,(alteração),,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
EXÉRESE DE TUMOR DE CONJUNTIVA,,HCO,Seg. Odontológica,Seg. Ambulatorial,CONJUNTIVA,OLHOS,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,INVASIVOS,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
INFILTRAÇÃO SUBCONJUNTIVAL,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,CONJUNTIVA,OLHOS,,,,,,
"PLÁSTICA DE CONJUNTIVA PARA PTERÍGIO, TUMORES OU TRAUMAS",AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,CONJUNTIVA,OLHOS,,,,,,
RECONSTITUIÇÃO DE FUNDO DE SACO,,HCO,Seg. Odontológica,Seg. Ambulatorial,CONJUNTIVA,OLHOS,,,,,,
SUTURA DE CONJUNTIVA,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,CONJUNTIVA,OLHOS,,,,,,
CAUTERIZAÇÃO DE CÓRNEA,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,CÓRNEA,OLHOS,,,,,,
CERATECTOMIA FOTOTERAPÊUTICA (PTK),AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,PAC,CÓRNEA,OLHOS,,,,,
CERATECTOMIA SUPERFICIAL,,HCO,Seg. Odontológica,Seg. Ambulatorial,,CÓRNEA,OLHOS,,,,,
CIRURGIA REFRATIVA - PRK OU LASIK (COM DIRETRIZ DE UTILIZAÇÃO),AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,13,CÓRNEA,OLHOS,,,,,
RADIAÇÃO PARA CROSS LINKING CORNEANO  (COM DIRETRIZ DE UTILIZAÇÃO),AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,121,CÓRNEA,OLHOS,,,,,
IMPLANTE DE ANEL INTRAESTROMAL (COM DIRETRIZ DE UTILIZAÇÃO),AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,34,CÓRNEA,OLHOS,,,,,
RECOBRIMENTO CONJUNTIVAL,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,,CÓRNEA,OLHOS,,,,,
RETIRADA DE CORPO ESTRANHO DA CÓRNEA,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,CÓRNEA,OLHOS,,,,,,
SUTURA DE CÓRNEA (COM OU SEM HÉRNIA DE ÍRIS),,HCO,Seg. Odontológica,Seg. Ambulatorial,CÓRNEA,OLHOS,,,,,,
TARSOCONJUNTIVOCERATOPLASTIA,,HCO,Seg. Odontológica,Seg. Ambulatorial,CÓRNEA,OLHOS,,,,,,
PARACENTESE DA CÂMARA ANTERIOR,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,CÂMARA ANTERIOR,OLHOS,,,,,,
,RN,,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
PROCEDIMENTO,,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
,(alteração),,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
CAPSULOTOMIA YAG OU CIRÚRGICA,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,CRISTALINO,OLHOS,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,INVASIVOS,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
FACECTOMIA COM LENTE INTRA-OCULAR COM OU SEM FACOEMULSIFICAÇÃO,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,CRISTALINO,OLHOS,,,,,,
FACECTOMIA SEM IMPLANTE,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,CRISTALINO,OLHOS,,,,,,
IMPLANTE SECUNDÁRIO / EXPLANTE DE LENTE INTRA-OCULAR,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,CRISTALINO,OLHOS,,,,,,
"REMOÇÃO DE PIGMENTOS DA LENTE INTRA-OCULAR COM YAG LASER, APÓS CIRURGIA DE CATARATA",AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,CRISTALINO,OLHOS,,,,,,
BIÓPSIA DE TUMOR VIA PARS PLANA,,HCO,Seg. Odontológica,Seg. Ambulatorial,CORPO VÍTREO,OLHOS,,,,,,
BIÓPSIA DE VÍTREO VIA PARS PLANA,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
ENDOLASER/ENDODIATERMIA,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
IMPLANTE DE SILICONE INTRAVÍTREO,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
INFUSÃO DE PERFLUOCARBONO,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
TRATAMENTO OCULAR QUIMIOTERÁPICO COM ANTIANGIOGÊNICO (COM DIRETRIZ DE UTILIZAÇÃO),AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,PAC,74,CORPO VÍTREO,OLHOS,,,,
MEMBRANECTOMIA EPI OU SUB-RETINIANA,,HCO,Seg. Odontológica,Seg. Ambulatorial,,,CORPO VÍTREO,OLHOS,,,,
RETIRADA DE CORPO ESTRANHO,,HCO,Seg. Odontológica,Seg. Ambulatorial,CORPO VÍTREO,OLHOS,,,,,,
RETIRADA DE ÓLEO DE SILICONE,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,CORPO VÍTREO,OLHOS,,,,,,
TROCA FLUIDO GASOSA,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
VITRECTOMIA A CÉU ABERTO - CERATOPRÓTESE,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
,RN,,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
PROCEDIMENTO,,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
,(alteração),,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
ENXERTO DE ESCLERA,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,INVASIVOS,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
SUTURA DE ESCLERA,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
ENUCLEAÇÃO OU EVISCERAÇÃO COM OU SEM IMPLANTE,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
INJEÇÃO RETROBULBAR,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
RECONSTITUIÇÃO DE GLOBO OCULAR COM LESÃO DE ESTRUTURAS INTRA-OCULARES,,HCO,Seg. Odontológica,Seg. Ambulatorial,BULBO OCULAR,OLHOS,,,,,,
BIÓPSIA DE ÍRIS E CORPO CILIAR,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
CICLOTERAPIA ANTIGLAUCOMATOSA,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
CIRURGIAS FISTULIZANTES ANTIGLAUCOMATOSAS COM OU SEM IMPLANTES DE DRENAGEM,,HCO,Seg. Odontológica,Seg. Ambulatorial,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
,473/2021,08/11/2021,Seg. Odontológica,Seg. Ambulatorial,REF,149,ÍRIS E CORPO CILIAR,OLHOS,,,,
DRENAGEM POR TÉCNICA MINIMAMENTE INVASIVA (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,,,,,INVASIVOS,,,
DRENAGEM DE DESCOLAMENTO DE CORÓIDE,,HCO,Seg. Odontológica,Seg. Ambulatorial,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,INVASIVOS,,,,,
FIXAÇÃO ESCLERAL OU IRIANA DE LENTE INTRA-OCULAR (EXCETO PARA CORREÇÃO ISOLADA DE,,,Seg. Odontológica,Seg. Ambulatorial,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
,,HCO,Seg. Odontológica,Seg. Ambulatorial,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
DISTÚRBIOS DE REFRAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,,,INVASIVOS,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
FOTOTRABECULOPLASTIA (LASER),AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,INVASIVOS,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
GONIOTOMIA OU TRABECULOTOMIA,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
IRIDECTOMIA (LASER OU CIRÚRGICA),AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
IRIDOCICLECTOMIA,,HCO,Seg. Odontológica,Seg. Ambulatorial,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
SINEQUIOTOMIA (LASER OU CIRÚRGICA),AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
BIÓPSIA DE MÚSCULOS,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,MÚSCULOS,OLHOS,,,,,,
,RN,,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
PROCEDIMENTO,,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
,(alteração),,Seg. Odontológica,Seg. Ambulatorial,,,,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,
ESTRABISMO HORIZONTAL,,HCO,Seg. Odontológica,Seg. Ambulatorial,,MÚSCULOS,OLHOS,,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,,INVASIVOS,,,,
,,,Seg. Odontológica,Seg. Ambulatorial,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,
INJEÇÃO OCULAR DE TOXINA BOTULÍNICA,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,PAC,MÚSCULOS,OLHOS,,,,,
APLICAÇÃO DE PLACA RADIATIVA EPISCLERAL,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
BIÓPSIA DE RETINA,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
EXÉRESE DE TUMOR DE CORÓIDE E/OU CORPO CILIAR,,HCO,Seg. Odontológica,Seg. Ambulatorial,RETINA,OLHOS,,,,,,
FOTOCOAGULAÇÃO (LASER),AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,RETINA,OLHOS,,,,,,
,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,46,RETINA,OLHOS,,,,,
DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,,,,INVASIVOS,,,,
MAPEAMENTO DE RETINA (FUNDOSCOPIA),AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,RETINA,OLHOS,,,,,,
PANCRIOTERAPIA PERIFÉRICA,,HCO,Seg. Odontológica,Seg. Ambulatorial,RETINA,OLHOS,,,,,,
,AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,59,RETINA,OLHOS,,,,,
UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,,,,INVASIVOS,,,,
REMOÇÃO DE IMPLANTE EPISCLERAL,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
RETINOPEXIA COM INTROFLEXÃO ESCLERAL,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
RETINOPEXIA PNEUMÁTICA,HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
RETINOPEXIA PROFILÁTICA (CRIOPEXIA),HCO,HSO,Seg. Odontológica,Seg. Ambulatorial,OLHOS,,,,,,,
TERMOTERAPIA TRANSPUPILAR A LASER (COM DIRETRIZ DE UTILIZAÇÃO),AMB,HCO,Seg. Odontológica,Seg. Ambulatorial,66,RETINA,OLHOS,,,,,
CIRURGIA DA GLÂNDULA LACRIMAL,,HCO,Seg. Odontológica,Seg. Ambulatorial,,VIAS LACRIMAIS,OLHOS,,,,,
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
RECONSTITUIÇÃO DE VIAS LACRIMAIS COM SILICONE OU OUTRO MATERIAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,VIAS LACRIMAIS,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
SONDAGEM DAS VIAS LACRIMAIS - COM OU SEM LAVAGEM,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,VIAS LACRIMAIS,OLHOS,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
BIÓPSIA DE PAVILHÃO AURICULAR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PAVILHÃO AURICULAR,ORELHA,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
EXÉRESE DE TUMOR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PAVILHÃO AURICULAR,ORELHA,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"EXÉRESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLÓGICA PAVILHÃO AURICULAR (TEMPO
FACIAL)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PAVILHÃO AURICULAR,ORELHA,"PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
